Epoch 106/800, D loss: -0.06384706497192383, G loss: -2.7731447219848633, Time elapsed: 1774.277615070343s
Epoch 107/800, D loss: -0.10601115226745605, G loss: -2.630833148956299, Time elapsed: 1789.9489288330078s
Epoch 108/800, D loss: -0.0811614990234375, G loss: -2.684636116027832, Time elapsed: 1806.4994916915894s
Epoch 109/800, D loss: -0.048191070556640625, G loss: -2.5723633766174316, Time elapsed: 1822.296153306961s
Epoch 110/800, D loss: -0.11194038391113281, G loss: -2.6852519512176514, Time elapsed: 1838.0500299930573s
Epoch 111/800, D loss: -0.1100926399230957, G loss: -2.8468408584594727, Time elapsed: 1854.4488344192505s
Epoch 112/800, D loss: -0.08636927604675293, G loss: -2.7272086143493652, Time elapsed: 1870.2569987773895s
Epoch 113/800, D loss: -0.12076926231384277, G loss: -2.7559096813201904, Time elapsed: 1886.3386290073395s
Epoch 114/800, D loss: -0.11943411827087402, G loss: -2.847015380859375, Time elapsed: 1902.9843702316284s
Epoch 115/800, D loss: -0.09622573852539062, G loss: -2.7516603469848633, Time elapsed: 1918.9355218410492s
Epoch 116/800, D loss: -0.07969832420349121, G loss: -2.922208309173584, Time elapsed: 1934.627676486969s
Epoch 117/800, D loss: -0.09316301345825195, G loss: -3.428800106048584, Time elapsed: 1951.0240082740784s
Epoch 118/800, D loss: -0.09363818168640137, G loss: -3.0915334224700928, Time elapsed: 1967.037037372589s
Epoch 119/800, D loss: -0.07308053970336914, G loss: -3.2300307750701904, Time elapsed: 1983.0096962451935s
Epoch 120/800, D loss: -0.11849117279052734, G loss: -2.768627643585205, Time elapsed: 1999.5795283317566s
Epoch 121/800, D loss: -0.09552621841430664, G loss: -2.818027973175049, Time elapsed: 2015.5537548065186s
Epoch 122/800, D loss: -0.09626007080078125, G loss: -2.511357545852661, Time elapsed: 2031.408041715622s
Epoch 123/800, D loss: -0.07484054565429688, G loss: -2.5279922485351562, Time elapsed: 2047.705248117447s
Epoch 124/800, D loss: -0.0644071102142334, G loss: -2.796250343322754, Time elapsed: 2063.7884895801544s
Epoch 125/800, D loss: -0.09419941902160645, G loss: -2.8507394790649414, Time elapsed: 2079.573121070862s
Epoch 126/800, D loss: -0.08243560791015625, G loss: -2.591823101043701, Time elapsed: 2095.6167027950287s
Epoch 127/800, D loss: -0.07760071754455566, G loss: -2.7896080017089844, Time elapsed: 2111.9095780849457s
Epoch 128/800, D loss: -0.07975625991821289, G loss: -2.9880001544952393, Time elapsed: 2127.721211194992s
Epoch 129/800, D loss: -0.08397579193115234, G loss: -3.025871515274048, Time elapsed: 2143.554759979248s
Epoch 130/800, D loss: -0.09866809844970703, G loss: -2.9082555770874023, Time elapsed: 2159.994716644287s
Epoch 131/800, D loss: -0.08072900772094727, G loss: -3.033435106277466, Time elapsed: 2175.8744876384735s
Epoch 132/800, D loss: -0.07146716117858887, G loss: -3.069230556488037, Time elapsed: 2191.806133747101s
Epoch 133/800, D loss: -0.05679821968078613, G loss: -3.03212308883667, Time elapsed: 2208.4188466072083s
